Date,Open,High,Low,Close,Adj Close,Volume
2011-10-20,25.000000,25.049999,24.719999,24.980000,17.964403,98900
2011-10-21,25.330000,25.469999,25.240000,25.469999,18.316786,188800
2011-10-24,25.990000,25.990000,25.480000,25.610001,18.417469,296600
2011-10-25,25.520000,25.520000,25.180000,25.190001,18.115431,94400
2011-10-26,25.559999,25.559999,25.110001,25.450001,18.302402,45000
2011-10-27,26.040001,26.160000,25.799999,26.030001,18.719513,272700
2011-10-28,26.059999,26.059999,25.900000,26.010000,18.705133,93500
2011-10-31,25.780001,25.830000,25.500000,25.500000,18.338360,243800
2011-11-01,25.200001,25.200001,24.870001,24.920000,17.921253,284300
2011-11-02,25.360001,25.520000,25.080000,25.250000,18.158573,323600
2011-11-03,25.650000,25.690001,25.250000,25.650000,18.446241,533200
2011-11-04,25.540001,25.549999,25.260000,25.540001,18.367130,109000
2011-11-07,25.580000,25.719999,25.330000,25.690001,18.475002,224000
2011-11-08,25.870001,26.030001,25.639999,26.010000,18.705133,465200
2011-11-09,25.590000,25.610001,25.150000,25.230000,18.144192,665500
2011-11-10,25.559999,25.590000,25.270000,25.480000,18.323982,183100
2011-11-11,25.770000,26.000000,25.770000,25.950001,18.661980,132500
2011-11-14,25.920000,25.920000,25.690001,25.770000,18.532528,222700
2011-11-15,25.730000,25.990000,25.680000,25.870001,18.604452,145100
2011-11-16,25.709999,25.930000,25.480000,25.490000,18.331167,103400
2011-11-17,25.530001,25.559999,25.049999,25.180000,18.108232,257300
2011-11-18,25.370001,25.370001,25.180000,25.280001,18.180151,197200
2011-11-21,25.100000,25.100000,24.620001,24.809999,17.842146,293900
2011-11-22,24.799999,24.879999,24.629999,24.719999,17.777418,150400
2011-11-23,24.580000,24.580000,24.290001,24.290001,17.468189,154900
2011-11-25,24.270000,24.469999,24.250000,24.250000,17.439421,53100
2011-11-28,24.809999,24.920000,24.690001,24.820000,17.849340,144000
2011-11-29,24.980000,25.110001,24.879999,24.990000,17.971601,109100
2011-11-30,25.629999,25.920000,25.570000,25.920000,18.640396,189400
2011-12-01,26.020000,26.020000,25.820000,25.879999,18.611635,101700
2011-12-02,26.600000,26.600000,25.799999,25.820000,18.568491,294400
2011-12-05,26.170000,26.260000,25.870001,26.010000,18.705133,227500
2011-12-06,26.129999,26.219999,25.940001,26.090000,18.762661,140900
2011-12-07,26.080000,26.290001,25.900000,26.180000,18.827385,199600
2011-12-08,26.110001,26.120001,25.700001,25.750000,18.518152,213100
2011-12-09,25.879999,26.150000,25.840000,26.100000,18.769859,121900
2011-12-12,25.969999,25.969999,25.559999,25.760000,18.525347,145900
2011-12-13,25.889999,25.969999,25.500000,25.580000,18.395903,125100
2011-12-14,25.580000,25.590000,25.309999,25.379999,18.252060,127400
2011-12-15,25.620001,25.750000,25.459999,25.490000,18.331167,217700
2011-12-16,25.730000,26.290001,25.250000,25.500000,18.338360,107100
2011-12-19,25.700001,25.750000,25.129999,25.200001,18.209740,117200
2011-12-20,25.610001,25.860001,25.500000,25.830000,18.664980,196300
2011-12-21,25.879999,25.950001,25.700001,25.930000,18.737242,120900
2011-12-22,26.049999,26.059999,25.940001,26.049999,18.823954,247600
2011-12-23,26.129999,26.280001,26.049999,26.280001,18.990150,198600
2011-12-27,26.290001,26.440001,26.270000,26.360001,19.047964,321300
2011-12-28,26.389999,26.389999,26.040001,26.080000,18.845636,219900
2011-12-29,26.150000,26.340000,26.150000,26.330000,19.026291,109600
2011-12-30,26.330000,26.330000,26.180000,26.180000,18.917898,155000
2012-01-03,26.570000,26.610001,26.420000,26.420000,19.091318,250400
2012-01-04,26.379999,26.480000,26.260000,26.420000,19.091318,168400
2012-01-05,26.350000,26.420000,26.139999,26.400000,19.076870,180900
2012-01-06,26.420000,26.420000,26.219999,26.280001,18.990150,153300
2012-01-09,26.320000,26.370001,26.209999,26.340000,19.033512,240100
2012-01-10,26.580000,26.580000,26.490000,26.520000,19.163584,139100
2012-01-11,26.430000,26.440001,26.330000,26.420000,19.091318,270900
2012-01-12,26.420000,26.469999,26.280001,26.440001,19.105774,137300
2012-01-13,26.299999,26.340000,26.150000,26.299999,19.004604,212200
2012-01-17,26.510000,26.600000,26.430000,26.450001,19.113001,203600
2012-01-18,26.469999,26.700001,26.450001,26.680000,19.279200,178400
2012-01-19,26.790001,26.790001,26.629999,26.790001,19.358686,530600
2012-01-20,26.830000,26.850000,26.730000,26.840000,19.394815,881900
2012-01-23,26.879999,26.920000,26.740000,26.840000,19.394815,345800
2012-01-24,26.730000,26.820000,26.680000,26.809999,19.373133,381900
2012-01-25,26.719999,26.990000,26.600000,26.969999,19.488754,297500
2012-01-26,27.090000,27.100000,26.820000,26.870001,19.416492,261600
2012-01-27,26.770000,26.820000,26.670000,26.750000,19.329781,282200
2012-01-30,26.570000,26.660000,26.459999,26.660000,19.264748,328900
2012-01-31,26.799999,26.799999,26.500000,26.610001,19.228621,251300
2012-02-01,26.770000,26.900000,26.760000,26.780001,19.351458,286700
2012-02-02,26.860001,26.860001,26.740000,26.790001,19.358686,316200
2012-02-03,27.040001,27.100000,26.980000,27.070000,19.561018,161000
2012-02-06,26.990000,27.059999,26.940001,27.049999,19.546564,257900
2012-02-07,27.020000,27.139999,26.889999,27.100000,19.582699,273700
2012-02-08,27.120001,27.139999,26.990000,27.100000,19.582699,191700
