Date,Open,High,Low,Close,Adj Close,Volume
2012-11-08,24.540001,24.540001,24.540001,24.540001,16.871605,900
2012-11-09,24.420000,24.610001,24.420000,24.500000,16.844109,5900
2012-11-12,24.600000,24.600000,24.600000,24.600000,16.912849,800
2012-11-13,24.480000,24.559999,24.480000,24.520000,16.857864,11200
2012-11-14,24.530001,24.530001,24.200001,24.200001,16.637854,9300
2012-11-15,24.049999,24.070000,23.950001,23.990000,16.493473,3100
2012-11-16,24.110001,24.110001,23.990000,24.000000,16.500351,2100
2012-11-19,24.440001,24.450001,24.440001,24.450001,16.809731,800
2012-11-20,24.480000,24.500000,24.440001,24.500000,16.844109,1200
2012-11-21,24.500000,24.500000,24.500000,24.500000,16.844109,0
2012-11-22,24.770000,24.770000,24.770000,24.770000,17.029737,500
2012-11-23,24.799999,24.900000,24.799999,24.879999,17.105352,4400
2012-11-26,24.879999,24.879999,24.860001,24.860001,17.091612,1800
2012-11-27,24.920000,24.920000,24.809999,24.809999,17.057230,2200
2012-11-28,24.809999,24.850000,24.809999,24.830000,17.073038,1000
2012-11-29,25.059999,25.070000,25.059999,25.070000,17.238075,500
2012-11-30,25.110001,25.110001,25.110001,25.110001,17.265579,400
2012-12-03,25.250000,25.250000,25.080000,25.150000,17.293079,4700
2012-12-04,25.080000,25.090000,25.080000,25.090000,17.251827,4100
2012-12-05,25.090000,25.090000,25.090000,25.090000,17.251827,0
2012-12-06,25.090000,25.090000,25.090000,25.090000,17.251827,0
2012-12-07,25.030001,25.100000,25.030001,25.100000,17.258690,2300
2012-12-10,25.180000,25.180000,25.120001,25.160000,17.299963,2100
2012-12-11,25.200001,25.299999,25.200001,25.299999,17.396212,600
2012-12-12,25.320000,25.379999,25.320000,25.379999,17.451239,1400
2012-12-13,25.379999,25.379999,25.379999,25.379999,17.451239,0
2012-12-14,25.299999,25.299999,25.299999,25.299999,17.396212,300
2012-12-17,25.200001,25.200001,25.200001,25.200001,17.327454,500
2012-12-18,25.360001,25.360001,25.360001,25.360001,17.437475,300
2012-12-19,25.740000,25.740000,25.709999,25.709999,17.678135,1000
2012-12-20,25.680000,25.680000,25.680000,25.680000,17.657515,1000
2012-12-21,25.680000,25.680000,25.680000,25.680000,17.657515,0
2012-12-24,25.730000,25.740000,25.730000,25.740000,17.698759,11000
2012-12-27,25.740000,25.740000,25.740000,25.740000,17.700134,0
2012-12-28,25.580000,25.600000,25.580000,25.590000,17.596998,800
2012-12-31,25.750000,25.750000,25.750000,25.750000,17.707006,5300
2013-01-02,26.030001,26.030001,25.799999,25.799999,17.741392,10400
2013-01-03,25.879999,25.879999,25.799999,25.799999,17.741392,5800
2013-01-04,25.860001,26.000000,25.860001,26.000000,17.878920,1500
2013-01-07,25.980000,25.980000,25.850000,25.920000,17.823914,15000
2013-01-08,25.969999,25.969999,25.879999,25.930000,17.830795,7500
2013-01-09,25.980000,26.010000,25.920000,25.940001,17.837677,7500
2013-01-10,26.059999,26.059999,26.000000,26.010000,17.885799,3800
2013-01-11,26.000000,26.000000,25.959999,25.959999,17.851421,3400
2013-01-14,26.080000,26.080000,25.990000,26.040001,17.906435,7400
2013-01-15,25.969999,26.070000,25.959999,26.070000,17.927061,12800
2013-01-16,26.049999,26.059999,26.010000,26.049999,17.913313,4800
2013-01-17,26.090000,26.230000,26.090000,26.219999,18.030210,6200
2013-01-18,26.260000,26.379999,26.260000,26.370001,18.133362,8100
2013-01-21,26.410000,26.450001,26.370001,26.450001,18.188377,2800
2013-01-22,26.510000,26.510000,26.450001,26.450001,18.188377,2100
2013-01-23,26.480000,26.570000,26.480000,26.570000,18.270878,1100
2013-01-24,26.620001,26.719999,26.620001,26.700001,18.360289,3100
2013-01-25,26.760000,26.770000,26.680000,26.680000,18.346529,4300
2013-01-28,26.450001,26.840000,26.450001,26.840000,18.456551,10000
